Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.469	0.000	426.046	20.000	5130660.000	-46989770.000
2.853	0.000	426.046	21.363	2060391.000	-41508150.000
4.153	0.000	426.046	22.819	2003424.000	-38908630.000
5.375	0.000	426.046	24.375	1842916.000	-36466190.000
6.530	0.000	426.046	26.036	1667408.000	-34214290.000
7.608	0.000	426.047	27.811	1531250.000	-32038750.000
8.618	0.000	426.047	29.707	1438129.000	-30037100.000
9.571	0.000	426.046	31.732	1326634.000	-28173300.000
10.469	0.000	426.047	33.895	1171688.000	-26427800.000
11.315	0.000	426.047	36.205	1109051.000	-24702120.000
12.111	0.000	426.048	38.673	951079.900	-23219010.000
13.055	0.000	426.048	41.309	902421.200	-21759690.000
13.942	0.000	426.048	44.125	774542.600	-20389380.000
14.775	0.000	426.048	47.133	707981.100	-19113990.000
15.564	0.000	426.048	50.346	638071.900	-17854820.000
16.305	0.000	426.048	53.777	573722.900	-16788450.000
17.017	0.000	426.048	57.443	576609.200	-15742810.000
17.681	0.000	426.048	61.359	558137.300	-14778320.000
18.301	0.000	426.048	65.541	524886.200	-13833610.000
18.933	0.000	426.048	70.009	473852.200	-12970460.000
19.495	0.000	426.048	74.781	448796.900	-12162480.000
20.138	0.000	426.048	79.878	408969.000	-11406150.000
20.663	0.000	426.048	85.323	381435.800	-10697920.000
21.205	0.000	426.048	91.139	352694.400	-10019310.000
21.678	0.000	426.048	97.352	330289.300	-9391420.000
22.149	0.000	426.047	103.987	305792.600	-8806313.000
22.598	0.000	426.047	111.076	281255.000	-8248863.000
23.001	0.000	426.047	118.647	259646.100	-7736424.000
23.445	0.000	426.047	126.735	240742.200	-7250822.000
23.847	0.000	426.047	135.373	223261.500	-6797318.000
24.246	0.000	426.047	144.601	218824.300	-6370829.000
24.648	0.000	426.047	154.458	194053.200	-5981569.000
24.975	0.000	426.046	164.986	174361.900	-5597382.000
25.337	0.000	426.046	176.232	162528.000	-5246149.000
25.698	0.000	426.046	188.245	151555.500	-4916631.000
26.027	0.000	426.046	201.077	139371.500	-4608640.000
26.349	0.000	426.046	214.783	129935.300	-4320033.000
26.680	0.000	426.046	229.423	120159.500	-4048749.000
26.941	0.000	426.045	245.062	108372.400	-3796024.000
27.256	0.000	426.045	261.766	104178.000	-3554728.000
27.569	0.000	426.045	279.609	95339.930	-3332935.000
27.867	0.000	426.045	298.669	87199.780	-3123565.000
28.142	0.000	426.045	319.027	81058.810	-2927338.000
28.455	0.000	426.044	340.773	75016.200	-2742932.000
28.713	0.000	426.044	364.002	70177.610	-2570571.000
29.021	0.000	426.044	388.814	64491.180	-2409414.000
29.272	0.000	426.044	415.317	59973.370	-2258214.000
29.539	0.000	426.044	443.627	55279.170	-2115846.000
29.809	0.000	426.044	473.866	51028.030	-1982957.000
30.084	0.000	426.044	506.167	47445.720	-1858952.000
