Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.474	0.000	385.070	20.000	-8035460.000	-50109980.000
2.856	0.000	385.070	21.363	4276385.000	-49153680.000
4.178	0.000	385.070	22.819	3920279.000	-46136350.000
5.397	0.000	385.071	24.375	3595087.000	-43357670.000
6.544	0.000	385.071	26.036	3230986.000	-40656620.000
7.638	0.000	385.072	27.811	2965877.000	-38199510.000
8.652	0.000	385.073	29.707	2661035.000	-35796160.000
9.609	0.000	385.073	31.732	2447332.000	-33629150.000
10.507	0.000	385.073	33.895	2141225.000	-31495780.000
11.352	0.000	385.073	36.205	2056455.000	-29569870.000
12.167	0.000	385.073	38.673	1889074.000	-27731840.000
13.107	0.000	385.073	41.309	1633850.000	-26010700.000
14.018	0.000	385.072	44.125	1412233.000	-24410000.000
14.865	0.000	385.071	47.133	1221421.000	-22867920.000
15.651	0.000	385.071	50.346	1062959.000	-21441730.000
16.390	0.000	385.071	53.777	1029142.000	-20122110.000
17.125	0.000	385.072	57.443	986029.400	-18927630.000
17.783	0.000	385.072	61.359	941707.100	-17759410.000
18.416	0.000	385.071	65.541	849053.400	-16634250.000
19.002	0.000	385.071	70.009	802501.400	-15619740.000
19.555	0.000	385.071	74.781	716632.800	-14636490.000
20.078	0.000	385.071	79.878	662856.800	-13712410.000
20.573	0.000	385.071	85.323	600789.200	-12864620.000
21.057	0.000	385.071	91.139	555971.100	-12072840.000
21.519	0.000	385.071	97.352	499002.300	-11309630.000
21.935	0.000	385.072	103.987	457754.300	-10609050.000
22.331	0.000	385.072	111.076	425996.900	-9948246.000
22.704	0.000	385.071	118.647	392634.900	-9322551.000
23.069	0.000	385.071	126.735	364124.700	-8744568.000
23.457	0.000	385.071	135.373	325593.200	-8196436.000
23.783	0.000	385.071	144.601	296465.200	-7689231.000
24.123	0.000	385.071	154.458	273701.500	-7196670.000
24.445	0.000	385.072	164.986	254538.400	-6754785.000
24.742	0.000	385.071	176.232	232232.300	-6330405.000
25.016	0.000	385.071	188.245	217799.000	-5934115.000
25.311	0.000	385.071	201.077	200400.100	-5562784.000
25.641	0.000	385.071	214.783	185032.200	-5215238.000
25.935	0.000	385.071	229.423	167807.700	-4886642.000
26.234	0.000	385.071	245.062	155889.700	-4581171.000
26.555	0.000	385.071	261.766	141748.800	-4292520.000
26.843	0.000	385.071	279.609	130213.200	-4023961.000
27.146	0.000	385.071	298.669	120589.900	-3771895.000
27.415	0.000	385.071	319.027	110561.900	-3534922.000
27.704	0.000	385.071	340.773	101978.600	-3313523.000
28.034	0.000	385.071	364.002	94187.680	-3105015.000
28.341	0.000	385.071	388.814	86624.950	-2911460.000
28.570	0.000	385.071	415.317	79871.710	-2727666.000
28.838	0.000	385.071	443.627	73634.120	-2556155.000
29.047	0.000	385.071	473.866	68090.190	-2395264.000
29.301	0.000	385.072	506.167	62486.570	-2245311.000
29.552	0.000	385.072	540.670	58318.780	-2103891.000
29.747	0.000	385.071	577.524	54221.890	-1971808.000
29.998	0.000	385.071	616.890	50002.360	-1848229.000
30.227	0.000	385.071	658.940	46025.840	-1731769.000
30.417	0.000	385.071	703.857	43015.600	-1622588.000
30.655	0.000	385.071	751.834	39597.590	-1520654.000
30.845	0.000	385.071	803.083	37057.750	-1425006.000
31.046	0.000	385.071	857.824	33832.200	-1335401.000
31.271	0.000	385.071	916.297	31543.040	-1251434.000
31.453	0.000	385.071	978.756	29250.990	-1172789.000
31.976	0.000	385.071	1045.472	27034.090	-1099010.000
32.462	0.000	385.071	1116.736	24871.160	-1029941.000
32.920	0.000	385.071	1192.857	22953.150	-965048.900
33.354	0.000	385.070	1274.167	21407.750	-904144.700
33.781	0.000	385.070	1361.020	19804.290	-847357.600
34.182	0.000	385.070	1453.793	18478.340	-794007.600
34.609	0.000	385.070	1552.890	17031.700	-744060.700
34.983	0.000	385.070	1658.741	15886.860	-697138.700
35.382	0.000	385.070	1771.808	14647.170	-653217.800
35.780	0.000	385.070	1892.582	13685.460	-612135.800
36.120	0.000	385.070	2021.589	12716.320	-573536.600
36.478	0.000	385.070	2159.389	11830.830	-537430.800
36.835	0.000	385.070	2306.582	10993.830	-503585.300
37.145	0.000	385.070	2463.808	10203.870	-471804.800
37.452	0.000	385.070	2631.752	9528.600	-442118.400
37.734	0.000	385.070	2811.143	8851.650	-414198.300
37.997	0.000	385.070	3002.763	8182.375	-388124.600
38.309	0.000	385.070	3207.444	7696.214	-363674.200
38.568	0.000	385.070	3426.077	7130.909	-340715.600
38.887	0.000	385.070	3659.613	6648.534	-319240.300
39.109	0.000	385.070	3909.068	6173.493	-299082.200
