Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.471	0.000	451.033	20.000	7854975.000	-24481810.000
2.853	0.000	451.033	21.363	8196001.000	-24666430.000
4.162	0.000	451.033	22.819	7532540.000	-23428380.000
5.383	0.000	451.033	24.375	6899260.000	-22286020.000
6.531	0.000	451.033	26.036	6251703.000	-21118670.000
7.631	0.000	451.034	27.811	5721823.000	-20061360.000
8.645	0.000	451.034	29.707	5206361.000	-19008970.000
9.597	0.000	451.034	31.732	4758492.000	-18001210.000
10.494	0.000	451.034	33.895	4291115.000	-17022040.000
11.338	0.000	451.034	36.205	3942107.000	-16087580.000
12.144	0.000	451.034	38.673	3584365.000	-15217660.000
13.086	0.000	451.034	41.309	3230463.000	-14391030.000
13.991	0.000	451.034	44.125	2899838.000	-13609390.000
14.827	0.000	451.034	47.133	2608575.000	-12821360.000
15.612	0.000	451.035	50.346	2341883.000	-12135170.000
16.366	0.000	451.035	53.777	2155638.000	-11427850.000
17.065	0.000	451.035	57.443	1975825.000	-10772600.000
17.722	0.000	451.035	61.359	1804530.000	-10158260.000
18.343	0.000	451.035	65.541	1627452.000	-9564892.000
18.949	0.000	451.036	70.009	1473970.000	-9007887.000
19.517	0.000	451.036	74.781	1333459.000	-8478991.000
20.039	0.000	451.036	79.878	1212043.000	-7981151.000
20.532	0.000	451.036	85.323	1092663.000	-7507911.000
20.999	0.000	451.036	91.139	991359.700	-7067069.000
21.440	0.000	451.036	97.352	895689.600	-6646424.000
21.858	0.000	451.036	103.987	808514.400	-6251755.000
22.272	0.000	451.035	111.076	734520.200	-5874026.000
22.661	0.000	451.035	118.647	665751.100	-5521252.000
23.030	0.000	451.035	126.735	603278.200	-5190241.000
23.373	0.000	451.035	135.373	544594.100	-4876666.000
23.712	0.000	451.035	144.601	502430.800	-4585431.000
24.050	0.000	451.034	154.458	449988.100	-4311473.000
24.360	0.000	451.034	164.986	406358.100	-4041787.000
24.664	0.000	451.034	176.232	366928.700	-3797441.000
24.992	0.000	451.034	188.245	333078.500	-3565100.000
25.285	0.000	451.034	201.077	302215.600	-3347423.000
25.578	0.000	451.034	214.783	274249.900	-3141848.000
25.874	0.000	451.034	229.423	249048.200	-2949150.000
26.132	0.000	451.034	245.062	224635.700	-2768237.000
26.460	0.000	451.034	261.766	203423.000	-2596936.000
26.747	0.000	451.034	279.609	185584.500	-2437957.000
27.028	0.000	451.034	298.669	168340.900	-2287889.000
27.310	0.000	451.033	319.027	153005.900	-2147103.000
27.602	0.000	451.033	340.773	138781.400	-2014467.000
27.860	0.000	451.033	364.002	126826.800	-1889345.000
28.163	0.000	451.033	388.814	114928.700	-1772863.000
28.395	0.000	451.033	415.317	104392.500	-1663117.000
28.659	0.000	451.033	443.627	95383.210	-1559614.000
28.872	0.000	451.033	473.866	86490.010	-1463023.000
29.099	0.000	451.033	506.167	78834.910	-1372174.000
29.314	0.000	451.033	540.670	71766.240	-1287003.000
29.580	0.000	451.033	577.524	65506.240	-1206939.000
29.777	0.000	451.033	616.890	59783.500	-1131875.000
29.976	0.000	451.033	658.940	54462.800	-1061396.000
30.167	0.000	451.033	703.857	49692.000	-995004.000
30.424	0.000	451.033	751.834	45444.730	-933184.500
30.652	0.000	451.033	803.083	41649.420	-874917.800
30.844	0.000	451.033	857.824	38038.120	-820484.200
31.092	0.000	451.033	916.297	34782.240	-769207.800
31.336	0.000	451.033	978.756	31694.470	-721232.800
31.877	0.000	451.033	1045.472	28698.020	-676616.900
32.372	0.000	451.033	1116.736	26451.640	-634436.000
32.830	0.000	451.033	1192.857	24129.830	-594615.800
33.265	0.000	451.033	1274.167	22166.820	-557563.400
33.687	0.000	451.033	1361.020	20272.680	-522683.500
34.116	0.000	451.033	1453.793	18611.350	-489957.700
34.507	0.000	451.033	1552.890	17046.130	-459254.700
34.898	0.000	451.033	1658.741	15712.640	-430450.400
35.276	0.000	451.033	1771.808	14428.160	-403432.500
35.622	0.000	451.033	1892.582	13332.770	-378175.200
35.980	0.000	451.033	2021.589	12169.550	-354455.600
36.327	0.000	451.033	2159.389	11249.570	-332281.900
36.655	0.000	451.033	2306.582	10310.440	-311395.300
36.986	0.000	451.033	2463.808	9501.671	-291857.900
37.294	0.000	451.033	2631.752	8788.414	-273556.200
37.585	0.000	451.033	2811.143	8097.753	-256358.700
37.905	0.000	451.033	3002.763	7444.332	-240285.300
38.219	0.000	451.033	3207.444	6869.649	-225182.800
38.455	0.000	451.033	3426.077	6350.894	-211045.400
38.745	0.000	451.033	3659.613	5843.951	-197763.700
39.017	0.000	451.033	3909.068	5432.395	-185315.900
39.370	0.000	451.033	4175.526	5000.339	-173709.000
39.737	0.000	451.034	4460.148	4597.088	-162818.800
40.079	0.000	451.034	4764.171	4254.081	-152600.400
40.404	0.000	451.034	5088.917	3982.871	-142994.500
40.734	0.000	451.034	5435.799	3635.136	-133999.100
41.021	0.000	451.034	5806.326	3382.656	-125564.200
41.320	0.000	451.034	6202.110	3160.443	-117718.400
41.579	0.000	451.035	6624.872	2918.625	-110277.300
41.807	0.000	451.035	7076.452	2704.926	-103333.900
42.085	0.000	451.035	7558.813	2488.334	-96850.620
42.388	0.000	451.035	8074.054	2304.815	-90770.730
42.725	0.000	451.035	8624.416	2145.172	-85070.950
43.005	0.000	451.035	9212.292	2031.252	-79710.520
