Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
2.579	0.000	425.053	20.000	1452035.000	-62473360.000
3.979	0.000	425.052	21.363	1400491.000	-57864090.000
5.291	0.000	425.052	22.819	1393646.000	-54181330.000
6.523	0.000	425.052	24.375	1240176.000	-50726290.000
7.681	0.000	425.052	26.036	1147524.000	-47514470.000
8.773	0.000	425.052	27.811	931212.100	-44553480.000
9.794	0.000	425.052	29.707	860367.600	-41626420.000
10.763	0.000	425.052	31.732	906998.800	-38964840.000
11.675	0.000	425.051	33.895	795967.500	-36414620.000
12.534	0.000	425.052	36.205	716915.700	-34147230.000
13.346	0.000	425.052	38.673	705043.100	-32012570.000
14.296	0.000	425.052	41.309	564720.000	-30043470.000
15.197	0.000	425.052	44.125	446711.800	-28057800.000
16.038	0.000	425.052	47.133	303930.300	-26339250.000
16.839	0.000	425.052	50.346	327861.800	-24610070.000
17.586	0.000	425.052	53.777	308851.200	-23130000.000
18.290	0.000	425.052	57.443	324205.600	-21660430.000
18.962	0.000	425.052	61.359	388522.700	-20308880.000
19.589	0.000	425.052	65.541	357144.900	-19034430.000
20.181	0.000	425.052	70.009	331732.300	-17830640.000
20.742	0.000	425.052	74.781	303050.500	-16686440.000
21.270	0.000	425.052	79.878	277661.500	-15618870.000
21.779	0.000	425.052	85.323	261060.700	-14637770.000
22.260	0.000	425.051	91.139	241563.600	-13727950.000
22.723	0.000	425.051	97.352	213146.000	-12850860.000
23.161	0.000	425.051	103.987	204667.500	-12052580.000
23.561	0.000	425.051	111.076	188870.700	-11281360.000
23.944	0.000	425.050	118.647	181139.600	-10571720.000
24.297	0.000	425.050	126.735	167736.800	-9897552.000
24.660	0.000	425.050	135.373	150180.700	-9275234.000
24.980	0.000	425.050	144.601	161223.900	-8678391.000
25.320	0.000	425.050	154.458	129863.800	-8155694.000
25.644	0.000	425.049	164.986	122510.200	-7621053.000
25.947	0.000	425.049	176.232	116155.100	-7140507.000
26.250	0.000	425.049	188.245	106635.300	-6692553.000
26.525	0.000	425.049	201.077	101354.300	-6265732.000
26.809	0.000	425.048	214.783	93354.930	-5872140.000
27.098	0.000	425.048	229.423	87271.430	-5499877.000
27.356	0.000	425.048	245.062	84799.480	-5152587.000
27.656	0.000	425.048	261.766	74664.950	-4827544.000
27.930	0.000	425.048	279.609	70869.050	-4519830.000
28.211	0.000	425.048	298.669	65629.040	-4234484.000
28.510	0.000	425.048	319.027	60486.470	-3966354.000
28.811	0.000	425.048	340.773	56177.900	-3715253.000
29.107	0.000	425.048	364.002	52427.050	-3480075.000
29.333	0.000	425.048	388.814	48333.430	-3259708.000
29.582	0.000	425.048	415.317	45845.970	-3053970.000
29.813	0.000	425.048	443.627	42435.520	-2859852.000
30.058	0.000	425.048	473.866	39341.200	-2680556.000
30.319	0.000	425.048	506.167	36805.330	-2509624.000
30.551	0.000	425.048	540.670	35135.370	-2351489.000
30.808	0.000	425.048	577.524	32534.080	-2202919.000
31.005	0.000	425.048	616.890	29725.800	-2063382.000
31.291	0.000	425.048	658.940	28374.150	-1932709.000
31.514	0.000	425.048	703.857	25977.190	-1810494.000
31.703	0.000	425.048	751.834	24584.330	-1695332.000
31.930	0.000	425.048	803.083	22588.260	-1588413.000
32.154	0.000	425.048	857.824	21458.760	-1488158.000
32.344	0.000	425.048	916.297	19850.120	-1393744.000
32.555	0.000	425.048	978.756	18659.850	-1305472.000
33.090	0.000	425.048	1045.472	17545.920	-1223116.000
33.593	0.000	425.048	1116.736	16429.840	-1145670.000
34.059	0.000	425.048	1192.857	15264.160	-1073293.000
34.500	0.000	425.048	1274.167	14357.310	-1005501.000
34.935	0.000	425.048	1361.020	13343.020	-941987.000
35.337	0.000	425.048	1453.793	12397.790	-882230.000
35.752	0.000	425.048	1552.890	11670.010	-826403.000
36.136	0.000	425.048	1658.741	10980.010	-774046.500
36.499	0.000	425.048	1771.808	10221.160	-725218.500
36.858	0.000	425.048	1892.582	9577.932	-679117.500
37.224	0.000	425.048	2021.589	8928.723	-636164.200
37.565	0.000	425.048	2159.389	8267.825	-595912.300
37.893	0.000	425.048	2306.582	7785.398	-558208.300
38.248	0.000	425.048	2463.808	7286.189	-522937.500
38.611	0.000	425.048	2631.752	6793.421	-489857.900
38.949	0.000	425.048	2811.143	6388.779	-458864.600
39.226	0.000	425.048	3002.763	5889.748	-429821.200
39.516	0.000	425.048	3207.444	5555.273	-402589.600
39.783	0.000	425.048	3426.077	5216.874	-377124.100
40.043	0.000	425.048	3659.613	4851.295	-353243.300
40.310	0.000	425.048	3909.068	4657.682	-330884.000
40.677	0.000	425.048	4175.526	4277.141	-309946.700
41.038	0.000	425.048	4460.148	3953.005	-290311.200
41.404	0.000	425.048	4764.171	3745.140	-271924.000
41.758	0.000	425.048	5088.917	3485.037	-254712.900
42.054	0.000	425.048	5435.799	3259.540	-238615.400
42.370	0.000	425.048	5806.326	3119.573	-223485.400
42.632	0.000	425.048	6202.110	2862.367	-209363.400
42.909	0.000	425.048	6624.872	2661.543	-196102.800
43.149	0.000	425.048	7076.452	2493.525	-183643.700
43.383	0.000	425.048	7558.813	2344.872	-172116.700
43.677	0.000	425.048	8074.054	2245.564	-161188.000
43.971	0.000	425.048	8624.416	2015.784	-150891.000
44.245	0.000	425.048	9212.292	1920.275	-141392.000
44.514	0.000	425.048	9840.241	1848.775	-132505.500
44.760	0.000	425.048	10510.994	1725.376	-124056.800
45.012	0.000	425.048	11227.468	1605.218	-116220.400
45.259	0.000	425.048	11992.780	1534.565	-108882.100
45.567	0.000	425.048	12810.259	1422.044	-101970.200
45.823	0.000	425.048	13683.461	1341.350	-95520.950
46.106	0.000	425.048	14616.184	1260.992	-89478.090
46.379	0.000	425.048	15612.485	1188.876	-83808.630
46.672	0.000	425.048	16676.698	1118.437	-78507.780
46.930	0.000	425.048	17813.453	1049.222	-73555.680
47.207	0.000	425.048	19027.694	993.208	-68901.080
47.488	0.000	425.048	20324.702	947.221	-64535.190
47.739	0.000	425.048	21710.121	891.488	-60448.760
47.992	0.000	425.048	23189.975	846.542	-56646.420
48.239	0.000	425.049	24770.702	777.298	-53045.450
48.532	0.000	425.049	26459.178	734.360	-49690.930
48.792	0.000	425.049	28262.749	682.948	-46540.210
49.025	0.000	425.049	30189.258	655.142	-43590.590
49.269	0.000	425.049	32247.086	613.356	-40834.340
49.497	0.000	425.050	34445.185	578.215	-38247.830
49.785	0.000	425.050	36793.115	541.702	-35833.550
50.103	0.000	425.050	39301.090	512.609	-33563.860
50.347	0.000	425.050	41980.020	486.669	-31440.100
