Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.471	0.000	409.935	20.000	14598180.000	-59189600.000
2.849	0.000	409.933	21.363	4888546.000	-45602460.000
4.145	0.000	409.933	22.819	4437083.000	-42851310.000
5.395	0.000	409.933	24.375	3981677.000	-40335290.000
6.542	0.000	409.933	26.036	3654040.000	-37850150.000
7.645	0.000	409.934	27.811	3295221.000	-35521900.000
8.658	0.000	409.935	29.707	3049997.000	-33328700.000
9.612	0.000	409.935	31.732	2780355.000	-31345220.000
10.521	0.000	409.935	33.895	2429822.000	-29320020.000
11.366	0.000	409.935	36.205	2275372.000	-27633970.000
12.167	0.000	409.935	38.673	2082837.000	-25903170.000
13.110	0.000	409.935	41.309	1801028.000	-24269500.000
13.997	0.000	409.935	44.125	1566455.000	-22769610.000
14.833	0.000	409.935	47.133	1392749.000	-21359900.000
15.633	0.000	409.935	50.346	1188242.000	-20006910.000
16.375	0.000	409.934	53.777	1132733.000	-18805250.000
17.073	0.000	409.934	57.443	1090713.000	-17679390.000
17.730	0.000	409.934	61.359	1006914.000	-16590320.000
18.351	0.000	409.935	65.541	927893.200	-15545490.000
18.951	0.000	409.934	70.009	838029.400	-14594040.000
19.507	0.000	409.934	74.781	764946.400	-13683560.000
20.031	0.000	409.935	79.878	701000.800	-12853120.000
20.527	0.000	409.935	85.323	649521.800	-12042900.000
20.994	0.000	409.935	91.139	575485.300	-11296450.000
21.436	0.000	409.935	97.352	536673.600	-10589980.000
21.852	0.000	409.935	103.987	488129.800	-9925634.000
22.247	0.000	409.935	111.076	439183.600	-9312127.000
22.653	0.000	409.935	118.647	397873.800	-8723372.000
23.006	0.000	409.935	126.735	366175.100	-8183502.000
23.380	0.000	409.935	135.373	335662.400	-7670443.000
23.720	0.000	409.935	144.601	312731.000	-7189084.000
24.058	0.000	409.935	154.458	276780.500	-6749368.000
24.393	0.000	409.935	164.986	252800.900	-6323515.000
24.714	0.000	409.935	176.232	231014.800	-5929755.000
25.010	0.000	409.935	188.245	212231.400	-5554327.000
25.307	0.000	409.936	201.077	195786.800	-5205384.000
25.599	0.000	409.936	214.783	177136.900	-4881064.000
25.899	0.000	409.936	229.423	162766.400	-4574314.000
26.194	0.000	409.936	245.062	147273.800	-4290095.000
26.515	0.000	409.936	261.766	136047.000	-4020381.000
26.829	0.000	409.936	279.609	124708.800	-3766120.000
27.114	0.000	409.936	298.669	114088.900	-3530169.000
27.421	0.000	409.936	319.027	104401.800	-3308136.000
27.667	0.000	409.936	340.773	96638.860	-3100836.000
27.936	0.000	409.935	364.002	88708.180	-2905923.000
28.162	0.000	409.935	388.814	81553.410	-2722243.000
28.393	0.000	409.935	415.317	73884.290	-2552443.000
28.624	0.000	409.934	443.627	68993.010	-2391747.000
28.832	0.000	409.934	473.866	62846.810	-2241194.000
29.089	0.000	409.934	506.167	58354.090	-2100793.000
29.301	0.000	409.934	540.670	53299.040	-1968996.000
29.529	0.000	409.934	577.524	49465.250	-1844432.000
29.753	0.000	409.933	616.890	45294.030	-1729142.000
29.992	0.000	409.933	658.940	41580.550	-1619815.000
30.191	0.000	409.933	703.857	38563.960	-1517282.000
30.472	0.000	409.933	751.834	35577.470	-1422334.000
30.730	0.000	409.933	803.083	32740.410	-1332684.000
30.901	0.000	409.933	857.824	30020.390	-1248661.000
31.129	0.000	409.933	916.297	27456.710	-1170221.000
31.348	0.000	409.933	978.756	25362.590	-1096462.000
31.936	0.000	409.933	1045.472	23336.110	-1027523.000
32.428	0.000	409.933	1116.736	21578.010	-962878.700
32.888	0.000	409.933	1192.857	19799.960	-902142.700
33.325	0.000	409.934	1274.167	18379.810	-845146.000
33.781	0.000	409.934	1361.020	17016.840	-791796.200
34.190	0.000	409.934	1453.793	15659.200	-741919.200
34.594	0.000	409.934	1552.890	14393.240	-695090.900
34.979	0.000	409.934	1658.741	13453.800	-651314.800
35.347	0.000	409.934	1771.808	12429.500	-610139.600
35.705	0.000	409.934	1892.582	11465.400	-571570.100
36.042	0.000	409.934	2021.589	10617.820	-535661.900
36.405	0.000	409.934	2159.389	9792.049	-501823.000
36.800	0.000	409.933	2306.582	9151.660	-470137.300
37.201	0.000	409.933	2463.808	8407.482	-440520.000
37.573	0.000	409.933	2631.752	7821.643	-412611.500
37.874	0.000	409.933	2811.143	7237.011	-386580.200
38.198	0.000	409.933	3002.763	6682.467	-362256.700
38.469	0.000	409.933	3207.444	6232.800	-339363.700
38.787	0.000	409.933	3426.077	5773.111	-317942.000
39.051	0.000	409.933	3659.613	5368.761	-297813.700
39.325	0.000	409.933	3909.068	4952.275	-279022.900
39.646	0.000	409.933	4175.526	4622.687	-261385.900
39.998	0.000	409.933	4460.148	4348.189	-244891.200
40.353	0.000	409.933	4764.171	3959.750	-229372.600
40.742	0.000	409.933	5088.917	3687.264	-214953.700
41.039	0.000	409.933	5435.799	3450.324	-201338.400
41.368	0.000	409.933	5806.326	3168.758	-188525.800
41.626	0.000	409.934	6202.110	2978.926	-176661.200
41.941	0.000	409.934	6624.872	2792.749	-165421.000
42.200	0.000	409.935	7076.452	2635.507	-155051.300
42.444	0.000	409.935	7558.813	2431.325	-145199.100
42.816	0.000	409.935	8074.054	2276.196	-136026.800
43.148	0.000	409.936	8624.416	2085.063	-127473.100
43.488	0.000	409.936	9212.292	1973.618	-119404.800
43.746	0.000	409.937	9840.241	1843.560	-111811.300
44.029	0.000	409.937	10510.994	1692.770	-104763.300
44.255	0.000	409.937	11227.468	1594.393	-98146.180
44.515	0.000	409.937	11992.780	1481.034	-91965.900
44.769	0.000	409.937	12810.259	1390.779	-86119.790
45.061	0.000	409.938	13683.461	1284.762	-80672.880
45.359	0.000	409.938	14616.184	1201.332	-75597.000
45.614	0.000	409.938	15612.485	1133.235	-70820.890
45.837	0.000	409.938	16676.698	1052.617	-66349.500
46.078	0.000	409.938	17813.453	981.245	-62142.800
46.314	0.000	409.938	19027.694	925.464	-58216.470
46.601	0.000	409.938	20324.702	873.701	-54535.450
46.877	0.000	409.938	21710.121	825.391	-51092.580
47.124	0.000	409.938	23189.975	761.199	-47832.260
47.433	0.000	409.938	24770.702	716.021	-44841.860
47.705	0.000	409.938	26459.178	670.416	-42002.890
47.955	0.000	409.938	28262.749	628.044	-39340.470
48.188	0.000	409.939	30189.258	590.639	-36872.890
48.428	0.000	409.939	32247.086	551.872	-34527.600
48.677	0.000	409.939	34445.185	520.615	-32338.480
48.945	0.000	409.939	36793.115	495.169	-30291.130
49.191	0.000	409.939	39301.090	469.732	-28377.160
49.435	0.000	409.939	41980.020	429.994	-26581.630
49.836	0.000	409.939	44841.556	405.635	-24905.420
50.213	0.000	409.939	47898.147	386.385	-23330.060
50.630	0.000	409.939	51163.089	354.787	-21857.030
51.014	0.000	409.939	54650.583	339.228	-20474.640
51.430	0.000	409.939	58375.799	316.926	-19178.490
51.697	0.000	409.939	62354.942	315.046	-17980.210
52.123	0.000	409.939	66605.320	277.094	-16830.530
52.444	0.000	409.939	71145.421	268.414	-15759.710
52.714	0.000	409.939	75994.996	249.607	-14762.460
53.050	0.000	409.939	81175.138	239.341	-13829.340
53.347	0.000	409.939	86708.381	224.317	-12953.780
53.627	0.000	409.939	92618.793	216.498	-12139.620
53.867	0.000	409.939	98932.084	204.247	-11367.180
54.184	0.000	409.939	105675.715	203.073	-10659.320
54.477	0.000	409.939	112879.022	178.959	-9985.968
54.763	0.000	409.939	120573.336	167.515	-9352.363
55.092	0.000	409.939	128792.127	157.303	-8745.725
55.395	0.000	409.939	137571.146	158.511	-8200.778
55.764	0.000	409.939	146948.581	144.765	-7684.634
56.118	0.000	409.939	156965.221	135.902	-7193.882
56.458	0.000	409.939	167664.638	130.907	-6745.049
56.739	0.000	409.939	179093.373	127.434	-6315.579
57.055	0.000	409.939	191301.139	110.066	-5916.153
57.384	0.000	409.939	204341.039	113.311	-5541.095
57.697	0.000	409.939	218269.793	108.083	-5191.590
58.023	0.000	409.939	233147.990	107.531	-4873.103
58.293	0.000	409.939	249040.349	98.854	-4551.017
58.622	0.000	409.939	266015.998	95.896	-4263.518
58.924	0.000	409.939	284148.780	91.572	-3993.502
59.255	0.000	409.939	303517.570	86.348	-3739.080
59.682	0.000	409.939	324206.618	84.803	-3502.394
59.939	0.000	409.939	346305.920	82.336	-3278.554
60.246	0.000	409.939	369911.605	78.897	-3071.513
60.544	0.000	409.939	395126.353	75.373	-2875.994
60.838	0.000	409.939	422059.846	72.828	-2691.800
61.228	0.000	409.939	450829.241	71.218	-2519.310
61.548	0.000	409.939	481559.679	69.736	-2361.636
61.830	0.000	409.939	514384.835	66.606	-2209.772
62.124	0.000	409.939	549447.493	65.012	-2066.863
62.378	0.000	409.939	586900.171	65.531	-1935.024
62.682	0.000	409.939	626905.783	62.478	-1812.506
63.013	0.000	409.939	669638.348	69.133	-1694.292
63.285	0.000	409.939	715283.746	65.527	-1593.727
63.601	0.000	409.939	764040.529	57.272	-1492.148
63.871	0.000	409.939	816120.781	55.116	-1392.213
64.153	0.000	409.939	871751.044	55.467	-1302.691
64.477	0.000	409.939	931173.304	53.856	-1217.430
64.763	0.000	409.939	994646.037	52.412	-1135.522
65.007	0.000	409.939	1062445.341	16.458	-1056.842
65.334	0.000	409.939	1134866.134	9.197	-992.719
65.764	0.000	409.939	1212223.437	12.344	-921.667
66.118	0.000	409.939	1294853.743	11.795	-864.829
66.488	0.000	409.939	1383116.481	13.216	-808.033
66.891	0.000	409.939	1477395.584	7.937	-759.788
67.342	0.000	409.939	1578101.150	7.645	-706.408
67.682	0.000	409.938	1685671.237	6.738	-659.572
67.933	0.000	409.938	1800573.758	3.234	-612.782
68.349	0.000	409.938	1923308.524	3.969	-570.546
68.620	0.000	409.938	2054409.414	3.285	-528.449
68.950	0.000	409.938	2194446.698	5.134	-488.454
69.220	0.000	409.938	2344029.518	4.086	-458.894
69.501	0.000	409.938	2503808.540	6.021	-420.117
69.822	0.000	409.938	2674478.780	3.737	-390.281
70.178	0.000	409.938	2856782.629	4.111	-360.156
70.444	0.000	409.938	3051513.084	3.020	-332.704
70.796	0.000	409.938	3259517.196	1.552	-301.281
71.063	0.000	409.938	3481699.752	5.068	-275.180
71.490	0.000	409.938	3719027.216	3.729	-250.349
71.734	0.000	409.938	3972531.929	7.355	-222.954
72.053	0.000	409.938	4243316.602	22.531	-202.382
72.331	0.000	409.938	4532559.110	12.608	-201.074
72.613	0.000	409.938	4841517.618	12.721	-175.300
72.937	0.000	409.938	5171536.051	8.355	-156.911
73.352	0.000	409.938	5524049.945	10.009	-135.263
73.677	0.000	409.938	5900592.685	9.468	-118.606
73.955	0.000	409.938	6302802.180	9.103	-100.949
74.220	0.000	409.938	6732427.985	12.942	-85.980
74.504	0.000	409.937	7191338.911	10.222	-72.386
74.783	0.000	409.937	7681531.159	9.830	-54.241
75.131	0.000	409.937	8205136.995	12.318	-39.471
75.464	0.000	409.937	8764434.032	14.415	-28.747
75.830	0.000	409.937	9361855.135	13.522	-16.469
76.096	0.000	409.937	9999999.000	14.524	-4.299
