Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	407.379	20.000	1399562.000	-51879300.000
2.853	0.000	407.360	21.363	2011402.000	-46936350.000
4.150	0.000	407.342	22.819	1754565.000	-44203920.000
5.371	0.000	407.324	24.375	1748081.000	-41378240.000
6.514	0.000	407.308	26.036	1532886.000	-38724920.000
7.590	0.000	407.293	27.811	1396120.000	-36251080.000
8.603	0.000	407.279	29.707	1237573.000	-33946540.000
9.557	0.000	407.266	31.732	1201715.000	-31831380.000
10.453	0.000	407.254	33.895	1080759.000	-29927670.000
11.298	0.000	407.242	36.205	891658.000	-27976650.000
12.103	0.000	407.230	38.673	801545.200	-26234430.000
13.045	0.000	407.217	41.309	769569.900	-24582590.000
13.932	0.000	407.204	44.125	661059.200	-23006300.000
14.766	0.000	407.192	47.133	496946.700	-21587310.000
15.561	0.000	407.180	50.346	510136.700	-20206310.000
16.320	0.000	407.170	53.777	446827.500	-18930230.000
17.018	0.000	407.160	57.443	459891.000	-17780490.000
17.680	0.000	407.151	61.359	467921.800	-16644460.000
18.297	0.000	407.142	65.541	449449.200	-15594640.000
18.881	0.000	407.134	70.009	384655.900	-14613550.000
19.438	0.000	407.127	74.781	357004.400	-13694550.000
19.975	0.000	407.119	79.878	333046.500	-12844020.000
20.467	0.000	407.112	85.323	309018.000	-12024460.000
20.930	0.000	407.105	91.139	283809.700	-11271080.000
21.370	0.000	407.099	97.352	263089.200	-10570670.000
21.789	0.000	407.093	103.987	241440.800	-9896152.000
22.182	0.000	407.087	111.076	220118.700	-9272328.000
22.555	0.000	407.081	118.647	202595.600	-8688950.000
22.909	0.000	407.077	126.735	188835.500	-8139629.000
23.262	0.000	407.072	135.373	176264.100	-7626959.000
23.589	0.000	407.068	144.601	153552.400	-7157771.000
23.911	0.000	407.063	154.458	141621.000	-6683813.000
24.217	0.000	407.059	164.986	138430.600	-6274318.000
24.551	0.000	407.056	176.232	128319.900	-5876988.000
24.835	0.000	407.051	188.245	119017.100	-5506901.000
25.138	0.000	407.047	201.077	109096.000	-5160842.000
25.431	0.000	407.042	214.783	103094.500	-4833778.000
25.744	0.000	407.038	229.423	95224.220	-4530253.000
26.003	0.000	407.034	245.062	85405.160	-4245481.000
26.304	0.000	407.031	261.766	78986.260	-3973716.000
26.601	0.000	407.026	279.609	74391.240	-3724426.000
26.914	0.000	407.022	298.669	70326.210	-3488509.000
27.231	0.000	407.018	319.027	64225.360	-3269702.000
27.550	0.000	407.013	340.773	59950.980	-3061803.000
27.851	0.000	407.009	364.002	55178.630	-2868973.000
