T (K),f (Fixed),R (ohm),X (ohm),Time (s),Cp (pF),Tan_Delta,Eps_Prime,Heater (%),Setpoint (K)
432.5768,10000.00,1.805035e+03,-9.487388e+04,0.008,167.694,1.902563e-02,946.9729,35.16,300.000
432.5412,10000.00,1.814763e+03,-9.489121e+04,1.009,167.662,1.912467e-02,946.7964,37.21,300.000
432.5003,10000.00,1.799722e+03,-9.490120e+04,2.009,167.646,1.896416e-02,946.7025,39.15,300.000
432.4634,10000.00,1.820551e+03,-9.486739e+04,3.010,167.704,1.919048e-02,947.0318,41.14,300.000
432.4272,10000.00,1.818784e+03,-9.492115e+04,4.011,167.609,1.916100e-02,946.4965,43.01,300.000
432.3924,10000.00,1.800389e+03,-9.490053e+04,5.012,167.647,1.897133e-02,946.7090,44.40,300.000
432.3568,10000.00,1.807615e+03,-9.487071e+04,6.013,167.699,1.905346e-02,947.0036,45.74,300.000
432.3264,10000.00,1.781095e+03,-9.489927e+04,7.014,167.650,1.876827e-02,946.7288,46.68,300.000
432.2984,10000.00,1.832669e+03,-9.491075e+04,8.015,167.627,1.930939e-02,946.5948,47.72,300.000
432.2704,10000.00,1.785257e+03,-9.494517e+04,9.015,167.569,1.880303e-02,946.2699,48.37,300.000
432.2470,10000.00,1.827370e+03,-9.499594e+04,10.016,167.477,1.923630e-02,945.7486,48.91,300.000
432.2258,10000.00,1.813235e+03,-9.493469e+04,11.016,167.586,1.909981e-02,946.3637,49.36,300.000
432.2070,10000.00,1.796316e+03,-9.493866e+04,12.017,167.580,1.892081e-02,946.3305,49.40,300.000
432.1897,10000.00,1.787410e+03,-9.496121e+04,13.018,167.541,1.882253e-02,946.1093,49.55,300.000
432.1754,10000.00,1.791879e+03,-9.494261e+04,14.019,167.573,1.887329e-02,946.2929,49.47,300.000
432.1635,10000.00,1.810268e+03,-9.496482e+04,15.019,167.533,1.906251e-02,946.0648,49.14,300.000
432.1537,10000.00,1.814951e+03,-9.489948e+04,16.020,167.648,1.912498e-02,946.7139,48.91,300.000
432.1453,10000.00,1.810348e+03,-9.498015e+04,17.021,167.506,1.906028e-02,945.9122,48.33,300.000
432.1397,10000.00,1.815503e+03,-9.494332e+04,18.021,167.570,1.912197e-02,946.2769,47.76,300.000
432.1359,10000.00,1.768634e+03,-9.497520e+04,19.022,167.517,1.862206e-02,945.9771,47.01,300.000
432.1341,10000.00,1.830591e+03,-9.497108e+04,20.022,167.520,1.927525e-02,945.9947,46.01,300.000
432.1343,10000.00,1.785605e+03,-9.498337e+04,21.023,167.502,1.879913e-02,945.8894,45.19,300.000
432.1355,10000.00,1.820372e+03,-9.499352e+04,22.024,167.481,1.916312e-02,945.7753,44.42,300.000
432.1380,10000.00,1.790423e+03,-9.497326e+04,23.025,167.519,1.885186e-02,945.9883,43.23,300.000
432.1420,10000.00,1.789494e+03,-9.497983e+04,24.025,167.508,1.884078e-02,945.9232,42.36,300.000
432.1465,10000.00,1.773689e+03,-9.497323e+04,25.026,167.520,1.867567e-02,945.9948,41.33,300.000
432.1520,10000.00,1.757938e+03,-9.499397e+04,26.026,167.485,1.850579e-02,945.7942,40.14,300.000
432.1582,10000.00,1.771105e+03,-9.495944e+04,27.027,167.545,1.865117e-02,946.1330,39.16,300.000
432.1654,10000.00,1.808626e+03,-9.502614e+04,28.027,167.425,1.903293e-02,945.4553,37.97,300.000
432.1729,10000.00,1.763325e+03,-9.498182e+04,29.028,167.506,1.856487e-02,945.9132,37.03,300.000
432.1801,10000.00,1.754567e+03,-9.498183e+04,30.028,167.506,1.847266e-02,945.9163,35.96,300.000
432.1876,10000.00,1.862691e+03,-9.502519e+04,31.029,167.423,1.960208e-02,945.4440,34.95,300.000
432.1955,10000.00,1.784307e+03,-9.503848e+04,32.030,167.405,1.877457e-02,945.3418,34.08,300.000
432.2025,10000.00,1.794508e+03,-9.502476e+04,33.030,167.428,1.888464e-02,945.4744,33.13,300.000
432.2095,10000.00,1.838434e+03,-9.504638e+04,34.031,167.387,1.934249e-02,945.2428,32.23,300.000
432.2165,10000.00,1.810985e+03,-9.504340e+04,35.031,167.394,1.905430e-02,945.2829,31.29,300.000
432.2234,10000.00,1.740891e+03,-9.504696e+04,36.032,167.393,1.831611e-02,945.2735,30.58,300.000
432.2289,10000.00,1.778819e+03,-9.507377e+04,37.033,167.343,1.870988e-02,944.9932,29.87,300.000
432.2343,10000.00,1.801553e+03,-9.506026e+04,38.034,167.365,1.895169e-02,945.1189,29.27,300.000
432.2393,10000.00,1.752903e+03,-9.505067e+04,39.035,167.385,1.844177e-02,945.2323,28.52,300.000
432.2430,10000.00,1.771559e+03,-9.505871e+04,40.036,167.370,1.863647e-02,945.1455,28.17,300.000
432.2458,10000.00,1.790645e+03,-9.501639e+04,41.036,167.443,1.884564e-02,945.5591,27.70,300.000
432.2480,10000.00,1.772455e+03,-9.504401e+04,42.037,167.396,1.864878e-02,945.2913,27.29,300.000
432.2496,10000.00,1.793639e+03,-9.506727e+04,43.038,167.353,1.886705e-02,945.0522,26.91,300.000
432.2507,10000.00,1.748744e+03,-9.511095e+04,44.039,167.280,1.838636e-02,944.6351,26.56,300.000
432.2512,10000.00,1.795452e+03,-9.511144e+04,45.040,167.276,1.887735e-02,944.6130,26.31,300.000
432.2506,10000.00,1.802330e+03,-9.507697e+04,46.040,167.336,1.895654e-02,944.9526,26.00,300.000
432.2492,10000.00,1.776870e+03,-9.505668e+04,47.041,167.373,1.869274e-02,945.1637,26.00,300.000
432.2469,10000.00,1.788074e+03,-9.508604e+04,48.041,167.321,1.880480e-02,944.8679,25.93,300.000
432.2434,10000.00,1.839106e+03,-9.511429e+04,49.042,167.268,1.933575e-02,944.5681,25.99,300.000
432.2391,10000.00,1.799812e+03,-9.512659e+04,50.043,167.249,1.892018e-02,944.4610,25.98,300.000
432.2339,10000.00,1.786626e+03,-9.508765e+04,51.044,167.318,1.878925e-02,944.8525,26.15,300.000
432.2284,10000.00,1.737524e+03,-9.507298e+04,52.046,167.347,1.827569e-02,945.0162,26.18,300.000
432.2224,10000.00,1.753576e+03,-9.506622e+04,53.046,167.358,1.844584e-02,945.0775,26.40,300.000
