Timestamp,Elapsed_Sec,Temp_A_K,Setpoint_K,Error_K,Heater_Pct,Rate,P_Gain,I_Gain,D_Gain,Range,Type,Stage
2026-09-04 17:12:23,0.0,306.6862,315.00,-8.3138,1.32,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:24,1.4,306.6851,315.00,-8.3149,1.42,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:26,2.8,306.6825,315.00,-8.3175,1.53,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:27,4.2,306.6804,315.00,-8.3196,1.62,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:28,5.6,306.6790,315.00,-8.3210,1.72,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:30,7.0,306.6775,315.00,-8.3225,1.82,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:31,8.4,306.6764,315.00,-8.3236,1.93,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:33,9.8,306.6757,315.00,-8.3243,2.04,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:34,11.2,306.6739,315.00,-8.3261,2.17,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:35,12.6,306.6725,315.00,-8.3275,2.25,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:37,14.0,306.6736,315.00,-8.3264,2.36,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:38,15.4,306.6738,315.00,-8.3262,2.50,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:40,16.8,306.6732,315.00,-8.3268,2.61,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:41,18.2,306.6732,315.00,-8.3268,2.74,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:42,19.7,306.6733,315.00,-8.3267,2.87,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:44,21.1,306.6725,315.00,-8.3275,3.02,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:45,22.5,306.6707,315.00,-8.3293,3.16,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:47,23.9,306.6685,315.00,-8.3315,3.31,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:48,25.3,306.6668,315.00,-8.3332,3.46,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:49,26.7,306.6656,315.00,-8.3344,3.61,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:51,28.1,306.6643,315.00,-8.3357,3.75,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:52,29.5,306.6634,315.00,-8.3366,3.90,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:54,30.9,306.6628,315.00,-8.3372,4.07,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:55,32.3,306.6620,315.00,-8.3380,4.22,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:56,33.7,306.6614,315.00,-8.3386,4.39,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:58,35.1,306.6607,315.00,-8.3393,4.55,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:12:59,36.5,306.6603,315.00,-8.3397,4.72,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:01,37.9,306.6590,315.00,-8.3410,4.90,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:02,39.3,306.6579,315.00,-8.3421,5.08,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:03,40.7,306.6568,315.00,-8.3432,5.25,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:05,42.1,306.6572,315.00,-8.3428,5.41,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:06,43.5,306.6578,315.00,-8.3422,5.59,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:08,44.9,306.6584,315.00,-8.3416,5.78,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:09,46.3,306.6591,315.00,-8.3409,5.96,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:10,47.7,306.6602,315.00,-8.3398,6.14,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:12,49.1,306.6610,315.00,-8.3390,6.33,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:13,50.5,306.6619,315.00,-8.3381,6.53,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:15,51.9,306.6625,315.00,-8.3375,6.73,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:16,53.3,306.6637,315.00,-8.3363,6.94,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:17,54.7,306.6642,315.00,-8.3358,7.13,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:19,56.1,306.6645,315.00,-8.3355,7.35,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:20,57.5,306.6651,315.00,-8.3349,7.55,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:22,58.9,306.6661,315.00,-8.3339,7.77,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:23,60.4,306.6670,315.00,-8.3330,7.98,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:24,61.8,306.6681,315.00,-8.3319,8.19,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:26,63.2,306.6692,315.00,-8.3308,8.41,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:27,64.6,306.6707,315.00,-8.3293,8.65,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:29,66.0,306.6718,315.00,-8.3282,8.86,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
2026-09-04 17:13:30,67.4,306.6736,315.00,-8.3264,9.08,2.000000,2.020000,30.400000,70.000000,HI,RAMPP,RAMPING
