Timestamp,Elapsed_Sec,Temp_A_K,Setpoint_K,Error_K,Heater_Pct,Rate,P_Gain,I_Gain,D_Gain,Range,Type,Stage
2026-09-04 17:36:41,0.0,330.1624,335.00,-4.8376,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:42,1.4,330.1581,335.00,-4.8419,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:44,2.8,330.1525,335.00,-4.8475,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:45,4.2,330.1477,335.00,-4.8523,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:47,5.6,330.1431,335.00,-4.8569,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:48,7.0,330.1387,335.00,-4.8613,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:49,8.4,330.1330,335.00,-4.8670,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:51,9.8,330.1279,335.00,-4.8721,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:52,11.2,330.1225,335.00,-4.8775,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:54,12.6,330.1162,335.00,-4.8838,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:55,14.0,330.1104,335.00,-4.8896,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:56,15.4,330.1047,335.00,-4.8953,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:58,16.8,330.0996,335.00,-4.9004,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:36:59,18.2,330.0945,335.00,-4.9055,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:01,19.6,330.0904,335.00,-4.9096,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:02,21.1,330.0853,335.00,-4.9147,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:03,22.5,330.0797,335.00,-4.9203,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:05,23.9,330.0741,335.00,-4.9259,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:06,25.3,330.0685,335.00,-4.9315,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:08,26.7,330.0630,335.00,-4.9370,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:09,28.1,330.0578,335.00,-4.9422,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:10,29.5,330.0520,335.00,-4.9480,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:12,30.9,330.0472,335.00,-4.9528,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:13,32.3,330.0424,335.00,-4.9576,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:15,33.7,330.0372,335.00,-4.9628,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
2026-09-04 17:37:16,35.1,330.0334,335.00,-4.9666,0.00,2.000000,2.000000,18.000000,55.000000,MID,RAMPP,RAMPING
