Timestamp,Elapsed_Sec,Temp_A_K,Setpoint_K,Error_K,Ramp_SP_K,Track_Err_K,Heater_Pct,Ramp_Rate_K_min,P_Gain,I_Gain,D_Gain,Range,MaxPwr_Pct,Stage
2026-09-04 22:21:55,0.0,356.9835,450.00,-93.0165,356.9834,-0.0001,6.41,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:21:57,1.4,356.9836,450.00,-93.0164,357.0068,+0.0232,6.92,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:21:58,2.8,356.9835,450.00,-93.0165,357.0302,+0.0467,7.46,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:21:59,4.2,356.9837,450.00,-93.0163,357.0536,+0.0699,7.92,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:01,5.6,356.9834,450.00,-93.0166,357.0771,+0.0937,8.45,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:02,7.0,356.9832,450.00,-93.0168,357.1005,+0.1173,8.91,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:04,8.4,356.9834,450.00,-93.0166,357.1239,+0.1405,9.39,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:05,9.8,356.9836,450.00,-93.0164,357.1472,+0.1636,9.97,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:06,11.2,356.9833,450.00,-93.0167,357.1706,+0.1873,10.37,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:08,12.6,356.9835,450.00,-93.0165,357.1940,+0.2105,10.92,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:09,14.0,356.9837,450.00,-93.0163,357.2174,+0.2337,11.36,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:11,15.4,356.9841,450.00,-93.0159,357.2408,+0.2567,11.83,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:12,16.8,356.9849,450.00,-93.0151,357.2642,+0.2793,12.27,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:13,18.3,356.9860,450.00,-93.0140,357.2876,+0.3016,12.79,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:15,19.7,356.9869,450.00,-93.0131,357.3109,+0.3240,13.23,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:16,21.1,356.9886,450.00,-93.0114,357.3343,+0.3457,13.61,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:18,22.5,356.9909,450.00,-93.0091,357.3577,+0.3668,14.02,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:19,23.9,356.9937,450.00,-93.0063,357.3811,+0.3874,14.45,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:20,25.3,356.9967,450.00,-93.0033,357.4045,+0.4078,14.87,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:22,26.7,357.0004,450.00,-92.9996,357.4279,+0.4275,15.18,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:23,28.1,357.0048,450.00,-92.9952,357.4513,+0.4465,15.59,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:25,29.5,357.0095,450.00,-92.9905,357.4747,+0.4652,15.95,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:26,30.9,357.0145,450.00,-92.9855,357.4981,+0.4836,16.24,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:27,32.3,357.0206,450.00,-92.9794,357.5215,+0.5009,16.59,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:29,33.7,357.0265,450.00,-92.9735,357.5449,+0.5184,16.94,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:30,35.1,357.0327,450.00,-92.9673,357.5683,+0.5356,17.23,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:32,36.5,357.0395,450.00,-92.9605,357.5917,+0.5522,17.57,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:33,37.9,357.0468,450.00,-92.9532,357.6158,+0.5690,17.90,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:34,39.3,357.0544,450.00,-92.9456,357.6392,+0.5848,18.14,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:36,40.8,357.0630,450.00,-92.9370,357.6626,+0.5996,18.35,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:37,42.2,357.0721,450.00,-92.9279,357.6860,+0.6139,18.65,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:39,43.6,357.0822,450.00,-92.9178,357.7094,+0.6272,18.82,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:40,45.0,357.0924,450.00,-92.9076,357.7328,+0.6404,18.98,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:42,46.4,357.1033,450.00,-92.8967,357.7562,+0.6529,19.25,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:43,47.8,357.1151,450.00,-92.8849,357.7796,+0.6645,19.37,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:44,49.2,357.1274,450.00,-92.8726,357.8029,+0.6755,19.56,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:46,50.6,357.1411,450.00,-92.8589,357.8264,+0.6853,19.69,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:47,52.0,357.1541,450.00,-92.8459,357.8498,+0.6957,19.81,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:49,53.4,357.1681,450.00,-92.8319,357.8731,+0.7050,19.97,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:50,54.8,357.1816,450.00,-92.8184,357.8965,+0.7149,20.17,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:51,56.2,357.1961,450.00,-92.8039,357.9199,+0.7238,20.28,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:53,57.6,357.2104,450.00,-92.7896,357.9433,+0.7329,20.37,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:54,59.0,357.2256,450.00,-92.7744,357.9667,+0.7411,20.47,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:56,60.4,357.2410,450.00,-92.7590,357.9901,+0.7491,20.53,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:57,61.8,357.2567,450.00,-92.7433,358.0135,+0.7568,20.69,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:22:58,63.2,357.2737,450.00,-92.7263,358.0369,+0.7632,20.71,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:00,64.6,357.2910,450.00,-92.7090,358.0603,+0.7693,20.74,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:01,66.0,357.3083,450.00,-92.6917,358.0837,+0.7754,20.79,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:03,67.4,357.3266,450.00,-92.6734,358.1071,+0.7805,20.71,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:04,68.8,357.3465,450.00,-92.6535,358.1305,+0.7840,20.71,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:05,70.2,357.3675,450.00,-92.6325,358.1538,+0.7863,20.69,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:07,71.6,357.3872,450.00,-92.6128,358.1772,+0.7900,20.71,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:08,73.0,357.4070,450.00,-92.5930,358.2006,+0.7936,20.68,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:10,74.4,357.4270,450.00,-92.5730,358.2240,+0.7970,20.75,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:23:11,75.8,357.4462,450.00,-92.5538,358.2474,+0.8012,20.80,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
